id_file,text,tokens,con_id,resume
ENC_U_4597427340775463337,educandos y educando a los más jovenes en salud sexual.,"['educandos', ' educando', ' mas', ' jovenes', ' salud', ' sexual']",288,Autocuidado y Salud
ENC_U_4597427340775463337,"como estudiante de salud, dando una buena atención.","['estudiante', ' salud', ' dando', ' buena', ' atencion']",289,Autocuidado y Salud
ENC_U_4597425290772173197,"respeto por adultos mayores, calidad humana no más abandono","['respeto', ' adultos', ' mayores', ' calidad', ' humana', ' mas', ' abandono']",292,Reciprocidad-Redes
ENC_U_4597423750772042294,"denunciar lo incorrecto de empresas privadas, educacionales, salud","['denunciar', ' incorrecto', ' empresas', ' privadas', ' educacionales', ' salud']",295,Autocuidado y Salud
ENC_U_4597419179157584588,con mis impuestos que pago.,"['impuestos', ' pago']",298,Trabajo
ENC_U_4597419179157584588,"fui profesora hace años, aporté a la educación.","['profesora', ' hace', ' anos', ' aporte', ' educacion']",299,Educación y autoeducación
ENC_U_4597399390774544454,dar a conocer mis necesidades y de mi comunidad en forma pacifica,"['dar', ' conocer', ' necesidades', ' comunidad', ' forma', ' pacifica']",301,Participacion
ENC_U_4597399390774544454,asistir a cursos de capacitaciones para mejorar mi calidad de vida,"['asistir', ' cursos', ' capacitaciones', ' mejorar', ' calidad', ' vida']",303,Autocuidado y Salud
ENC_U_4597389308801652651,denunciar a los vecinos que no apoyan a la comunidad,"['denunciar', ' vecinos', ' apoyan', ' comunidad']",308,Participacion
ENC_U_4597389308801652651,ayudar a los comites para mejor organizaciones,"['ayudar', ' comites', ' mejor', ' organizaciones']",309,Autocuidado y Salud
ENC_U_4596870160118219514,ir a votar,"['ir', ' votar']",313,Participacion
ENC_U_4596870160118219514,más respeto a quien piense distinto,"['mas', ' respeto', ' piense', ' distinto']",316,Reciprocidad-Redes
ENC_U_4596868730114685865,inculcar el respeto en los niños.,"['inculcar', ' respeto', ' ninos']",318,Reciprocidad-Redes
ENC_U_4596868730114685865,rechazar la violencia,"['rechazar', ' violencia']",320,Combatir Delincuencia
ENC_U_4596866960111106515,ir a votar,"['ir', ' votar']",325,Participacion
ENC_U_4596806191197827612,participación ciudadana en los cabildos,"['participacion', ' ciudadana', ' cabildos']",333,Participacion
ENC_U_4596799489416460526,"informarse, con respecto a la contingencia para opinar con base","['informarse', ' respecto', ' contingencia', ' opinar', ' base']",338,Educación y autoeducación
ENC_U_4596767860994930497,tener mayor participación en políticas publicas.,"['tener', ' mayor', ' participacion', ' politicas', ' publicas']",342,Participacion
ENC_U_4596766050112223446,ir a votar,"['ir', ' votar']",343,Participacion
ENC_U_4596766050112223446,darle mejores valores a nuestros hijos para que sean mejores que nosotros.,"['darle', ' mejores', ' valores', ' hijos', ' mejores']",346,Educación y autoeducación
ENC_U_4596744200116382645,enseñar respeto,"['enseñar', ' respeto']",351,Reciprocidad-Redes
ENC_U_4596744200116382645,ir a votar,"['ir', ' votar']",352,Participacion
ENC_U_4596538444129461689,respetar y acatar las decisiones del pueblo,"['respetar', ' acatar', ' decisiones', ' pueblo']",359,Inclusión y Diversidad
ENC_U_4595956029616133624,participación activa como ciudadano en actividades electorales de representación social.,"['participacion', ' activa', ' ciudadano', ' actividades', ' electorales', ' representacion', ' social']",367,Participacion
ENC_U_4595956029616133624,"ser parte en las manifestaciones sociales a nivel de organizaciones comunales, etc.","['ser', ' parte', ' manifestaciones', ' sociales', ' nivel', ' organizaciones', ' comunales', ' etc']",368,Protesta Social
ENC_U_4595956029616133624,tolerancia y respeto a posiciones diversas a las nuestras.,"['tolerancia', ' respeto', ' posiciones', ' diversas']",369,Reciprocidad-Redes
ENC_U_4595953176514917294,respeto,['respeto'],371,Reciprocidad-Redes
ENC_U_4595953176514917294,vida en comunidad,"['vida', ' comunidad']",372,Participacion
ENC_U_4595953176514917294,participación en la vida cívica,"['participacion', ' vida', ' civica']",373,Participacion
ENC_U_4595944093321943387,cumplir con nuestro deber civico,"['cumplir', ' deber', ' civico']",378,Voluntariado
ENC_U_4595941083322126118,educar a los pares y dar pie a la inclusión,"['educar', ' pares', ' dar', ' pie', ' inclusion']",380,Educación y autoeducación
ENC_U_4595914560111217720,a votar en conciencia en las elecciones.,"['votar', ' conciencia', ' elecciones']",390,Participacion
ENC_U_4595911510158997688,trabajar por un chile mejor,"['trabajar', ' chile', ' mejor']",395,Autocuidado y Salud
ENC_U_4595907200156285158,educar a mis pares en el recurso hídrico y su cuidado,"['educar', ' pares', ' recurso', ' hídrico', ' cuidado']",403,Educación y autoeducación
ENC_U_4595906623579183150,darse el tiempo para votar,"['darse', ' tiempo', ' votar']",409,Participacion
ENC_U_4595903120153792064,uso controlado y a conciencia del agua,"['uso', ' controlado', ' conciencia', ' agua']",411,Sustentabilidad Ambiental
ENC_U_4595903120153792064,promover la votación y elegir representativa,"['promover', ' votacion', ' elegir', ' representativa']",414,Protesta Social
ENC_U_4595896740159235439,apoyo a los microempresarios y lucho por la igualdad de genero,"['apoyo', ' microempresarios', ' lucho', ' igualdad', ' genero']",418,Erradicar violencia contra la Mujer
ENC_U_4595893403291895218,"tolerancia, respetar opiniones diferente a mi pensamiento.","['tolerancia', ' respetar', ' opiniones', ' diferente', ' pensamiento']",423,Inclusión y Diversidad
ENC_U_4595853601195589243,Mayor participación en conocer proyectos y programas,"['mayor', ' participacion', ' conocer', ' proyectos', ' programas']",426,Participacion
ENC_U_4595853601195589243,Mayor participación con servicios públicos en diálogos y en la toma de ediciones ,"['mayor', ' participacion', ' servicios', ' publicos', ' dialogos', ' toma', ' ediciones']",427,Participacion
ENC_U_4595785350154848969,participacion y cumplimiento deber civico.,"['participacion', ' cumplimiento', ' deber', ' civico']",429,Participacion
ENC_U_4595785350154848969,participar en juntas de vecinos,"['participacion', ' cabildos']",430,Participacion
ENC_U_4595785350154848969,"reciclar, reutilizar agua, andar en bicicleta autocultivo, caminatas entre familias ------.","['reciclar', ' reutilizar', ' agua', ' andar', ' bicicleta', ' autocultivo', ' caminatas', ' familias']",431,Sustentabilidad Ambiental
ENC_U_4595767860158596010,Seguir aportando el19% (VA),"['seguir', ' aportando', ' iva']",434,Voluntariado
ENC_U_4595767860158596010,Ciudadano correcto (que no hace desmanes) y que aporta con pago de impuestos,"['ciudadano', ' correcto', ' hace', ' desmanes', ' aporta', ' pago', ' impuestos']",435,Trabajo
ENC_U_4595767860158596010,Participación activa en las elecciones que se están midiendo(encuestas etc.),"['participacion', ' activa', ' elecciones', ' estan', ' midiendo', ' encuestas', ' etc']",436,Participacion
ENC_U_4595750226118837760,informarse mas de lo que esta pasando,"['informarse', ' mas', ' pasando']",440,Educación y autoeducación
ENC_U_4595750226118837760,"se pediría respeto con la familia (internet, celular)","['pediría', ' respeto', ' familia', ' internet', ' celular']",442,Reciprocidad-Redes
ENC_U_4595748186118896827,voy a ir a votar,"['voy', ' ir', ' votar']",444,Participacion
ENC_U_4595748186118896827,informarse,['informarse'],445,Educación y autoeducación
ENC_U_4595748186118896827,cumplir con los  deberes como ciudadanos,"['cumplir', ' deberes', ' ciudadanos']",447,Voluntariado
ENC_U_4595651957411945773,aportando laboralmente a contribuir al crecimiento economico del país.,"['aportando', ' laboralmente', ' contribuir', ' crecimiento', ' economico', ' pais']",449,Voluntariado
ENC_U_4593380843299373307,que vuelva la educación cívica a los colegios.,"['vuelva', ' educacion', ' civica', ' colegios']",454,Educación y autoeducación
ENC_U_4593380843299373307,acercar los funcionarios públicos a la comunidad.,"['acercar', ' funcionarios', ' publicos', ' comunidad']",455,Participacion
ENC_U_4593323736866009418,"ejercicio ciudadano efectivo y real, mediante la participación social y la vinculación con la contingencia actual","['ejercicio', ' ciudadano', ' efectivo', ' real', ' mediante', ' participacion', ' social', ' vinculacion', ' contingencia', ' actual']",470,Participacion
ENC_U_4593323736866009418,"ejercicio de los derechos cívicos, a través del sufragio y la reivindicación de los derechos sociales","['ejercicio', ' derechos', ' cívicos', ' traves', ' sufragio', ' reivindicación', ' derechos', ' sociales']",471,Protesta Social
ENC_U_4593319139158007146,con mis impuestos que pago,"['impuestos', ' pago']",477,Trabajo
ENC_U_4593319139158007146,fui profesora hace años. aporte a la educación,"['profesora', ' hace', ' anos', ' aporte', ' educacion']",478,Educación y autoeducación
ENC_U_4593318669153660643,organizándose de buena manera sin violencia,"['organizándose', ' buena', ' manera', ' violencia']",482,Combatir Delincuencia
ENC_U_4593296918425168007,respeto entre la sociedad.,"['respeto', ' sociedad']",483,Reciprocidad-Redes
ENC_U_4593296918425168007,respetar las leyes.,"['respetar', ' leyes']",485,Inclusión y Diversidad
ENC_U_4593296918425168007,cumplir con lo que el estado solicita.,"['cumplir', ' solicita']",486,Voluntariado
ENC_U_4593223560117671753,Votar,['votar'],487,Participacion
ENC_U_4593223560117671753,Informar y dialogar con la comunidad,"['informar', ' dialogar', ' comunidad']",489,Participacion
ENC_U_4593223560117671753,Condenar todo acto de violencia,"['condenar', ' acto', ' violencia']",491,Combatir Delincuencia
ENC_U_4593178871196423700,mejorar pensiones a la persona y tercera edad,"['mejorar', ' pensiones', ' persona', ' tercera', ' edad']",492,Autocuidado y Salud
ENC_U_4593178871196423700,regularización de terrenos y agua,"['regularización', ' terrenos', ' agua']",495,Sustentabilidad Ambiental
ENC_U_4593171851195480098,Mejorar la comunicacion con los vecino,"['mejorar', ' comunicacion', ' vecino']",498,Autocuidado y Salud
ENC_U_4593171851195480098,Ser un mejor ganadero de alpacas y llamas,"['ser', ' mejor', ' ganadero', ' alpacas', ' llamas']",499,Autocuidado y Salud
ENC_U_4593171560119392439,cuidar el entorno,"['cuidar', ' entorno']",503,Sustentabilidad Ambiental
ENC_U_4593171560119392439,votar,['votar'],505,Participacion
ENC_U_4593169261197840165,mayor participación como ciudadano.,"['mayor', ' participacion', ' ciudadano']",508,Participacion
ENC_U_4593169261197840165,respeto hacia los vecinos.,"['respeto', ' hacia', ' vecinos']",509,Reciprocidad-Redes
ENC_U_4593159731198290704,participación en las juntas de vecinos.,"['participacion', ' dialogos']",517,Participacion
ENC_U_4593159731198290704,participación en los diálogos.,"['participacion', ' juntas', ' vecinos']",518,Participacion
ENC_U_4593159731198290704,formar una agrupación que contemple educación.,"['formar', ' agrupacion', ' contemple', ' educacion']",520,Educación y autoeducación
ENC_U_4593159731198290704,mas seguridad ciudadana.,"['mas', ' seguridad', ' ciudadana']",521,Combatir Delincuencia
ENC_U_4593155341194539577,pagando los impuestos,"['pagando', ' impuestos']",524,Trabajo
ENC_U_4593130741197314604,Educando con buenos valores a mis hijos.,"['educando', ' buenos', ' valores', ' hijos']",527,Educación y autoeducación
ENC_U_4593130741197314604,Pagando mis impuestos.,"['pagando', ' impuestos']",528,Trabajo
ENC_U_4593127041194583292,ir a votar en las elecciones populares.,"['ir', ' votar', ' elecciones', ' populares']",538,Participacion
ENC_U_4593127041194583292,informarse de las actividades participativas y emitir una opinión.,"['informarse', ' actividades', ' participativas', ' emitir', ' opinion']",539,Educación y autoeducación
ENC_U_4593124420115194198,dialogando y rechazando la violencia,"['dialogando', ' rechazando', ' violencia']",542,Combatir Delincuencia
ENC_U_4593124420115194198,inculcar a los niños el respeto y la buena/sana convivencia,"['inculcar', ' ninos', ' respeto', ' buena', ' sana', ' convivencia']",543,Reciprocidad-Redes
ENC_U_4593123230114998034,Trabajando de manera responsable.,"['trabajando', ' manera', ' responsable']",545,Trabajo
ENC_U_4593122260112654290,"instaurando instancias de diálogo, prefiriéndolos por sobre la violencia.","['instaurando', ' instancias', ' dialogo', ' prefiriendolos', ' violencia']",549,Combatir Delincuencia
ENC_U_4593122260112654290,respetando a los demás ciudadanos.,"['respetando', ' demas', ' ciudadanos']",550,Inclusión y Diversidad
ENC_U_4593121460115898262,promoviendo el diálogo por sobre la violencia. participando activamente en los procesos electorales.,"['promoviendo', ' dialogo', ' violencia', ' participando', ' activamente', ' procesos', ' electorales']",554,Combatir Delincuencia
ENC_U_4593121460115898262,respetando,['respetando'],555,Inclusión y Diversidad
ENC_U_4593121460115898262,trabajando,['trabajando'],556,Trabajo
ENC_U_4593120280116111402,trabajando responsablemente,"['trabajando', ' responsablemente']",557,Trabajo
ENC_U_4593119230117354334,respeto por los demás. mucho se habla de los ddhh pero al salir a las calles se dividen de los derechos de los comerciantes,"['respeto', ' demas', ' habla', ' ddhh', ' salir', ' calles', ' dividen', ' derechos', ' comerciantes']",560,Reciprocidad-Redes
ENC_U_4593119230117354334,trabajando de manera responsable ,"['trabajando', ' manera', ' responsable']",562,Trabajo
ENC_U_4593117930116638178,trabajando.,['trabajando'],565,Trabajo
ENC_U_4593116880112309457,trabajar (funcionario pdi) -trabajar con la gente en el ámbito de la salud,"['trabajar', ' funcionario', ' pdi', ' trabajar', ' gente', ' ambito', ' salud']",567,Autocuidado y Salud
ENC_U_4593116880112309457,incentivando el diálogo por sobre la violencia y las marchas,"['incentivando', ' dialogo', ' violencia', ' marchas']",568,Combatir Delincuencia
ENC_U_4593115600113528988,"al ser profesor en la comuna de lota, una de las comunas más pobres del país hace más de 17 años, planteando la educación como primera opción y oportunidad.","['ser', ' profesor', ' comuna', ' lota', ' comunas', ' mas', ' pobres', ' pais', ' hace', ' mas', ' anos', ' planteando', ' educacion', ' primera', ' opcion', ' oportunidad']",571,Educación y autoeducación
ENC_U_4593115600113528988,dialogando y no fomentando la violencia y destrozos en la vía pública. ,"['dialogando', ' fomentando', ' violencia', ' destrozos', ' via', ' publica']",572,Combatir Delincuencia
ENC_U_4593115600113528988,trabajando de forma responsable y honesta. ,"['trabajando', ' forma', ' responsable', ' honesta']",573,Trabajo
ENC_U_4593092444316047768,conformar grupos de trabajo que se entiendan con las autoridades para definir los temas de futuro.,"['conformar', ' grupos', ' trabajo', ' entiendan', ' autoridades', ' definir', ' temas', ' futuro']",577,Confianza en las instituciones
ENC_U_4593087970615855068,"contratación de personal de salud migrante (médico, enfermero, etc) ante la alerta sanitaria","['contratacion', ' personal', ' salud', ' migrante', ' medico', ' enfermero', ' etc', ' alerta', ' sanitaria']",578,Autocuidado y Salud
ENC_U_4593087970615855068,reforzar la atención primaria en salud con recurso humano migrante,"['reforzar', ' atencion', ' primaria', ' salud', ' recurso', ' humano', ' migrante']",581,Autocuidado y Salud
ENC_U_4592471870113785986,cuidando y respetando al resto.,"['cuidando', ' respetando', ' resto']",589,Inclusión y Diversidad
ENC_U_4592471324808086661,votar,['votar'],594,Participacion
ENC_U_4592430981195770045,trabajo con tolerancia y respeto,"['trabajo', ' tolerancia', ' respeto']",598,Reciprocidad-Redes
ENC_U_4592322696512263637,respeto entre pares,"['respeto', ' pares']",602,Reciprocidad-Redes
ENC_U_4592322696512263637,participación,['participacion'],604,Participacion
ENC_U_4592307920774020608,formular y/o generar proyectos sociales para que el estado pueda financiar,"['formular', ' generar', ' proyectos', ' sociales', ' pueda', ' financiar']",607,Protesta Social
ENC_U_4592301930771544339,votar en las elecciones,"['votar', ' elecciones']",613,Participacion
ENC_U_4592301930771544339,entregar valores y principios a nuestros hijos para el futuro,"['entregar', ' valores', ' principios', ' hijos', ' futuro']",616,Educación y autoeducación
ENC_U_4592299240775284215,igualdad para todos,['igualdad'],623,Erradicar violencia contra la Mujer
ENC_U_4592238810771066166,el agua sea prioridad para la agricultura y consumo humano,"['agua', ' prioridad', ' agricultura', ' consumo', ' humano']",629,Sustentabilidad Ambiental
ENC_U_4592237130773544310,partir por educar a los padres,"['partir', ' educar', ' padres']",630,Educación y autoeducación
ENC_U_4592237130773544310,sancionar a los politicos ,"['sancionar', ' politicos']",631,Confianza en las instituciones
ENC_U_4592237130773544310,sancionar a los padres y cobrar los daños que provoquen los hijos,"['sancionar', ' padres', ' cobrar', ' danos', ' provoquen', ' hijos']",632,Educación y autoeducación
ENC_U_4592237130773544310,mejorar el poder judicial,"['mejorar', ' poder', ' judicial']",633,Autocuidado y Salud
ENC_U_4592219120773828234,"eliminar de una vez por todas a los delincuentes, sancionar a todos los que hacen desmanes, atacan a locales comerciales, carabineros. poner mano dura.","['eliminar', ' vez', ' todas', ' delincuentes', ' sancionar', ' hacen', ' desmanes', ' atacan', ' locales', ' comerciales', ' carabineros', ' poner', ' mano', ' dura']",636,Combatir Delincuencia
ENC_U_4592217355229214161,mejorar los espacios públicos.,"['mejorar', ' espacios', ' publicos']",641,Autocuidado y Salud
ENC_U_4592212325226333734,"más informada, informarse mas","['mas', ' informada', ' informarse', ' mas']",644,Educación y autoeducación
ENC_U_4592191335226030854,mejorar las condiciones de vida para todos los ciudadanos que habiten el país (sean chilenos o extranjeros),"['mejorar', ' condiciones', ' vida', ' ciudadanos', ' habiten', ' pais', ' chilenos', ' extranjeros']",649,Autocuidado y Salud
ENC_U_4591378423297549942,dar lo mejor de cada uno,"['dar', ' mejor', ' cada']",663,Autocuidado y Salud
ENC_U_4591358540112702885,promover a travel de talleres,"['promover', ' travel', ' talleres']",670,Protesta Social
ENC_U_4591339920111432877,entregar valores a los hijos,"['entregar', ' valores', ' hijos']",672,Educación y autoeducación
ENC_U_4591339920111432877,empezar la educación y ejemplos,"['empezar', ' educacion', ' ejemplos']",673,Educación y autoeducación
ENC_U_4591339920111432877,a nuestros hijos por casa,"['hijos', ' casa']",674,Educación y autoeducación
ENC_U_4591339920111432877,enfrentar y hacerles ver a nuestros hijos los buenos ejemplos,"['enfrentar', ' hacerles', ' ver', ' hijos', ' buenos', ' ejemplos']",675,Educación y autoeducación
ENC_U_4591328870158037356,educación ciudadana.,"['educacion', ' ciudadana']",678,Educación y autoeducación
ENC_U_4591312180156436635,participación en los espacios que existen para hacerlo,"['participacion', ' espacios', ' existen', ' hacerlo']",681,Participacion
ENC_U_4591312180156436635,liderazgos: cada uno en su medio puede ejercer liderazgos constructivos,"['liderazgos', ' cada', ' medio', ' puede', ' ejercer', ' liderazgos', ' constructivos']",682,Sustentabilidad Ambiental
ENC_U_4591300470157079475,promover el bien común ,"['promover', ' bien', ' comun']",689,Protesta Social
ENC_U_4590751760156701621,Contribuir con el dialogo desarrollo de mi trabajo con muchos compromisos ayudando  a los que necesitan,"['contribuir', ' dialogo', ' desarrollo', ' trabajo', ' compromisos', ' ayudando', ' necesitan']",692,Voluntariado
ENC_U_4590751760156701621,Instar al diálogo y no a la violencia ,"['instar', ' dialogo', ' violencia']",693,Combatir Delincuencia
ENC_U_4590653684027679082,"votar no todos los miembros sufragar , por lo que hay que ejercer el derecho en los votos","['votar', ' miembros', ' sufragar', ' ejercer', ' derecho', ' votos']",702,Participacion
