Tokens	Category
rescat cultur mapuch perdur tiemp	Apoyo a Pueblos Originarios
ser mas toler	Reciprocidad-Redes
empat	Reciprocidad-Redes
realiz educacion hij proteccion ambient educacion civic educacion emocional	Sustentabilidad Ambiental
trabaj union	Trabajo
gener mas laz confianz autor	Confiar en la Institucionalidad
cultiv rais cultural mapuch	Apoyo a Pueblos Originarios
ser voz mas necesit autor pertinent	Emprendimiento
dignid valor puebl originari	Apoyo a Pueblos Originarios
mejor salud jubil pension sueld	Autocuidado y Salud
apoy organiz	Participación Ciudadana
participacion junt vecin	Participación Electoral
ser mas solidari	Reciprocidad-Redes
realiz accion acced informacion relacion bienest	Difusión de la Información
respet institu	Defensa de derechos, Inclusión y Diversidad
apoy acog adict drog	Combatir Delincuencia
confi	Confiar en la Institucionalidad
dar valor hij	Familia
compart informacion emocion debat	Participación Ciudadana
toler person	Confiar en la Institucionalidad
ejerc deb civic	Participación Electoral
alzar voz ser escuch	Emprendimiento
coherent legisl evit vulner derech person	Defensa de derechos, Inclusión y Diversidad
cuid entorn	Sustentabilidad Ambiental
acerc autor	Accountability
esfuerz famili educ hij	Compromiso con la Educación y Autoeducación
aplic vid trabaj principi accion proposit cambi pais	Trabajo
respet acuerd	Defensa de derechos, Inclusión y Diversidad
inform derech deber	Difusión de la Información
asociat mayor confianz autor honest siembr desconfi	Confiar en la Institucionalidad
gener espaci colaboracion actor joven	Cultura
dirigent junt vecin particip organiz activ cultural obr social	Participación Ciudadana
educ gent	Compromiso con la Educación y Autoeducación
mas cultur valor	Cultura
respet autor	Defensa de derechos, Inclusión y Diversidad
elimin machism hog	Erradicar violencia contra la Mujer
emprend dar solucion client	Emprendimiento
respet	Defensa de derechos, Inclusión y Diversidad
enfatiz dem animal	Tenencia Responsable
elev estandar cultural socied	Cultura
cre mas puest trabaj aument public calid atencion	Trabajo
respet semej	Defensa de derechos, Inclusión y Diversidad
colabor traspas informacion futur gener	Difusión de la Información
enseñ joven trabaj viviend vid correct	Trabajo
nuev generacion respect profesor carabiner autor	Combatir Delincuencia
resilient salud mental	Autocuidado y Salud
activ cuid mas desposeid activ ecolog social femin	Protesta Social
mayor compromis social	Protesta Social
mas centr educ	Compromiso con la Educación y Autoeducación
cambi cultur niñez	Cultura
contribu economi local trav emple dign	Voluntariado
mujer deb ciudadan	Erradicar violencia contra la Mujer
oportun gan vid	Emprendimiento
sistem salud	Autocuidado y Salud
cre espaci	Cultura
educ bi hij	Compromiso con la Educación y Autoeducación
luch derech trabaj vend empres	Emprendimiento
mas oportun capacit	Compromiso con la Educación y Autoeducación
foment valor	Familia
preferent pymes negoci local	Emprendimiento
accion cambi dentr tod junt centr salud	Participación Ciudadana
pertenent	Tenencia Responsable
trabaj honr	Trabajo
ten concienci	Difusión de la Información
reforz famili dar buen principi juventud	Familia
ten id clar conoc derech	Defensa de derechos, Inclusión y Diversidad
ten mas empat person eh vicevers	Reciprocidad-Redes
logist educ aprend club social	Protesta Social
pod contribu trav participacion comunitari	Participación Electoral
buen educacion hij	Compromiso con la Educación y Autoeducación
inform contingent actual	Difusión de la Información
salud	Autocuidado y Salud
educ valor niet	Compromiso con la Educación y Autoeducación
persever cumplimient compromis autor	Accountability
tenenci respons mascot	Tenencia Responsable
apoy institu	Confiar en la Institucionalidad
siend respons oportun laboral	Emprendimiento
entreg valor cultural patrimonial	Cultura
ser bu trabaj bas empres	Emprendimiento
esper proces transparent	Accountability
econom equid sueld hombr muj	Erradicar violencia contra la Mujer
salud enferm form bu profesional salud	Autocuidado y Salud
pertenent pais ser ciudadan	Tenencia Responsable
mayor participacion ciudadan	Participación Electoral
defend derech bas realid regional	Difusión de la Información
ser promotor salud taller impart cad vez pod	Autocuidado y Salud
mejor condicion viv deb espaci lugar viv mejor sueld	Cultura
cre grup mujer reflexion	Erradicar violencia contra la Mujer
cri carin hij enseñ valor	Familia
cuid respons animal	Tenencia Responsable
dialog person entorpec mejor trabaj	Trabajo
participacion mediant eleccion vot obligatori	Participación Electoral
ser aport socied	Compromiso con la Educación y Autoeducación
proteg product propi pais variedad semill cultiv especi animal	Tenencia Responsable
mas valor famili	Familia
salud	Autocuidado y Salud
gobiern deb darn segur	Combatir Delincuencia
persever foment cultur	Cultura
pag impuest permis circul	Voluntariado
insegur social econom alt pais	Protesta Social
violenci	Combatir Delincuencia
pension inform tem afp ten bas	Difusión de la Información
mejor trat entorn pregunt	Sustentabilidad Ambiental
fiscaliz autor	Accountability
salud	Autocuidado y Salud
establec confianz relacion democrat	Confiar en la Institucionalidad
cuid medi ambient elimin bols	Sustentabilidad Ambiental
educ person tom concienci deficit hidric	Compromiso con la Educación y Autoeducación
charl instru padr reunion pre kind	Participación Ciudadana
permit manifiest pacif	Protesta Social
reinsert trabaj	Trabajo
presion gobi busc solucion tem salud	Emprendimiento
inform acontec	Difusión de la Información
reajust sueld polit senador diput ministr etc	Accountability
cri hij valor posit	Familia
conservacion cultur tradicion aym proteccion	Cultura
particip hac efect derech	Defensa de derechos, Inclusión y Diversidad
respet dem escuch	Defensa de derechos, Inclusión y Diversidad
segu trabaj falt herramient	Voluntariado
aprovech cad espaci discut situacion actual manten siempr inform	Voluntariado
ser mejor person respet	Defensa de derechos, Inclusión y Diversidad
respet autor difund	Voluntariado
solucion problem cotiz salud	Autocuidado y Salud
respet	Defensa de derechos, Inclusión y Diversidad
tod empres cumpl estandar intencional medioambiental	Sustentabilidad Ambiental
inform inform	Difusión de la Información
inform	Difusión de la Información
mejor salud pension	Autocuidado y Salud
foment participacion vecin activ educ social etc	Participación Electoral
sistem pension educ educacion financ pod ahorr	Compromiso con la Educación y Autoeducación
mas segur cad cumpl rol	Combatir Delincuencia
involucr civil	Accountability
denunci ocurr delit	Combatir Delincuencia
tenenci respons animal	Tenencia Responsable
trabaj	Trabajo
transparent sistem pension	Accountability
respet person mayor ed	Reciprocidad-Redes
ir sufrag compromet tom decision	Voluntariado
com mas san evit enfermedad larg plaz	Autocuidado y Salud
denunci hech violenci	Combatir Delincuencia
empoder mujer derech	Erradicar violencia contra la Mujer
cumpl compromis deb gener respons	Voluntariado
mejor volunt pedagogi moment interactu	Voluntariado
ir vot	Participación Electoral
salud gener espaci charl pacif	Cultura
cuid medi ambient	Sustentabilidad Ambiental
cuid mejor entorn	Sustentabilidad Ambiental
particip activ organiz	Participación Ciudadana
alzar voz voz	Emprendimiento
cuid agu	Sustentabilidad Ambiental
concientiz acerc iguald sueld hombr mujer	Erradicar violencia contra la Mujer
educ civil	Compromiso con la Educación y Autoeducación
promocion vegan justici animal proteccion maltrat	Tenencia Responsable
respet proxim	Defensa de derechos, Inclusión y Diversidad
voy march	Protesta Social
trabaj comun mejor condicion adult mayor	Participación Ciudadana
apreci autor actu	Accountability
recuper agricultur tradicional mas tecnic	Cultura
denunci delincuent form anonim	Combatir Delincuencia
manej red social form posit	Protesta Social
rebaj sueld polit viatic	Accountability
trabaj trabaj dur contribu pais	Voluntariado
ser funcionari sord trabaj mejor chil	Trabajo
contribu personal cuid animal	Tenencia Responsable
animal preocup animal	Familia
realiz transparent fiscaliz gestion atribu	Accountability
organizacion soci transparent frent organizacion mism	Accountability
cuid medi ambient gener futur	Sustentabilidad Ambiental
part organizacion joven apoy joven situacion vulner	Reciprocidad-Redes
motiv participacion ciudadan	Participación Electoral
mas segur call	Combatir Delincuencia
mujer reun cohesion	Erradicar violencia contra la Mujer
oportun joven mas proyect	Emprendimiento
respet	Defensa de derechos, Inclusión y Diversidad
enseñ valor creenci costumbr	Familia
aprend inform ser aport socied difund aprend	Compromiso con la Educación y Autoeducación
colaboracion confratern	Confiar en la Institucionalidad
inform le constitucion	Difusión de la Información
empeñ emprend	Emprendimiento
particip escuch neces	Emprendimiento
ser mas toler	Reciprocidad-Redes
dar contention apoy	Reciprocidad-Redes
leer inform	Difusión de la Información
trabaj pued aport	Reciprocidad-Redes
reutiliz agu	Sustentabilidad Ambiental
logr vot obligatori compromet vot	Participación Electoral
contribu pais mas just posicion	Voluntariado
aval violenci	Combatir Delincuencia
particip act civic sector voluntari	Participación Ciudadana
denunci delincuent drog corrupcion	Combatir Delincuencia
vot	Participación Electoral
revision control ciudadan institu public autor regional nacional	Accountability
trabaj	Trabajo
mas comunicacion mas construccion men destruccion	Familia
educ nin pequen	Compromiso con la Educación y Autoeducación
mas segur cuid entorn	Combatir Delincuencia
culturiz inform dem person actor	Cultura
amabl	Reciprocidad-Redes
pais vuelv confi	Confiar en la Institucionalidad
darl buen valor hij	Familia
respet cultur costumbr	Cultura
vot	Participación Electoral
pel derech	Defensa de derechos, Inclusión y Diversidad
cambi personal institu hospital carabiner municipal	Combatir Delincuencia
gener mas dialog	Participación Ciudadana
llen vot cambi pens gobiern	Participación Electoral
educ	Compromiso con la Educación y Autoeducación
cuid espaci public	Cultura
entreg experient	Reciprocidad-Redes
ser mas patriot valor cultur chilen valor patri	Cultura
mas toler	Reciprocidad-Redes
cre grup mujer reflexion	Erradicar violencia contra la Mujer
inculc respet mas joven	Reciprocidad-Redes
alzar voz ser escuch	Emprendimiento
ir vot moment eleccion	Participación Electoral
solicit establec asist nin mas cultur	Cultura
ley penal chilen corrupt ejemplar	Accountability
confianz	Confiar en la Institucionalidad
dispon trabaj pais	Trabajo
elig mejor autor	Accountability
enseñ hij hac mejor pais	Familia
respet ley norm	Defensa de derechos, Inclusión y Diversidad
gener concienci actual respect infanci	Difusión de la Información
respet ser respet	Defensa de derechos, Inclusión y Diversidad
escuch mas busc solucion form respetu	Emprendimiento
dej trabaj	Trabajo
ser respons trabaj diari	Trabajo
apoy violenci	Combatir Delincuencia
discrimin religion condicion social	Protesta Social
mayor participacion electoral	Participación Electoral
volv cre confi pais	Confiar en la Institucionalidad
comenz par inform	Difusión de la Información
pod acced program combat sedentar	Voluntariado
cuid	Sustentabilidad Ambiental
concienci ecolog	Difusión de la Información
respet norm regl establec	Defensa de derechos, Inclusión y Diversidad
promov accion posit hij tiemp libr	Protesta Social
manifiest contribu trabaj dign	Voluntariado
trat educ gent	Compromiso con la Educación y Autoeducación
ser bu empleador	Participación Ciudadana
respet adult mayor	Erradicar violencia contra la Mujer
realiz deb civic	Participación Electoral
busc mejor pais entend	Emprendimiento
segu luch	Emprendimiento
conscient gast trat busc mas adecu	Emprendimiento
participacion colect famili vecin sed etc	Participación Electoral
salud calid	Autocuidado y Salud
aprovech oportun	Emprendimiento
march pacif	Protesta Social
dirig	Voluntariado
promov convivent armon socied product mediant aport migrant	Protesta Social
educ hij mejor	Compromiso con la Educación y Autoeducación
sab escuch dem respet punt vist	Defensa de derechos, Inclusión y Diversidad
ten confianz person pais	Confiar en la Institucionalidad
mas salud	Autocuidado y Salud
denunci injust delit violenci	Combatir Delincuencia
reclam respet	Reciprocidad-Redes
conoc amb car moned conflict ciudadan polit	Confiar en la Institucionalidad
abandon puebl hac patri mostr cultural product turism	Cultura
salud	Autocuidado y Salud
votacion particip proces	Participación Ciudadana
recuper suel agricol gener aument produccion	Emprendimiento
exig foment mejor avanc	Voluntariado
inform inform	Difusión de la Información
educacion civic	Compromiso con la Educación y Autoeducación
dand opinion	Participación Ciudadana
aument produccion	Emprendimiento
tall medic aa mm conflict impotent tall	Confiar en la Institucionalidad
cumpl deb civic sufrag inform le	Participación Electoral
siend mas respons ciudadani vot	Participación Electoral
trabaj diari contribucion id solucion problemat	Trabajo
ser valient expres propi id contribu aspect hac pais lug agrad segur viv	Voluntariado
buen convivent vecin	Participación Ciudadana
dec sent	Voluntariado
respet valor civic	Familia
funcion agrupacion gener instanci oportun pcd	Emprendimiento
apoy represent	Reciprocidad-Redes
recuper confianz autor	Confiar en la Institucionalidad
conoc aprend	Compromiso con la Educación y Autoeducación
confi si pued cambi	Confiar en la Institucionalidad
respet escuch	Defensa de derechos, Inclusión y Diversidad
polit trabaj pais mejor	Accountability
manten calm actitud escuch evit confront	Confiar en la Institucionalidad
cuid agu	Sustentabilidad Ambiental
acced mas informacion educacion conoc constitucion sab trat	Compromiso con la Educación y Autoeducación
surg solucion concret visibl demand chilen	Protesta Social
mayor preocupacion person viv sol	Familia
valor	Familia
denunci delit vandal	Combatir Delincuencia
tom cuent experient adult mayor capacit part polit	Accountability
organiz hac cooper sindicat ten representacion	Protesta Social
dej egoism lad ser mas empat dem	Reciprocidad-Redes
violenci argument real cambi	Combatir Delincuencia
enseñ valor	Familia
cuid flor faun region	Sustentabilidad Ambiental
control servici public priv	Accountability
enseñ respet educ famili	Reciprocidad-Redes
salud	Autocuidado y Salud
fin abus pod carabiner gent respet	Combatir Delincuencia
vent product mini pymes artesani com	Emprendimiento
solidar vecin famili entorn	Sustentabilidad Ambiental
reduzc violenci call	Combatir Delincuencia
desarroll transparent eficient funcion funcionari public	Accountability
denunci	Combatir Delincuencia
foment participacion social votacion mejor pais	Participación Electoral
respet tod	Defensa de derechos, Inclusión y Diversidad
actu respons social	Protesta Social
continu apoy organizacion social	Protesta Social
confianz	Confiar en la Institucionalidad
respet mutu public funcionari	Reciprocidad-Redes
trabaj	Trabajo
recicl	Sustentabilidad Ambiental
ten voz comun	Emprendimiento
respet ley	Defensa de derechos, Inclusión y Diversidad
salud mejor neces mas barat examen mas rap mejor atencion hospital consultori	Autocuidado y Salud
educ hog hij respet	Reciprocidad-Redes
pag impuest	Trabajo
confiabl	Confiar en la Institucionalidad
cambi di di salud mas gent	Autocuidado y Salud
colabor denunci narcotraf	Combatir Delincuencia
som ent mas confiabl bomber requier	Confiar en la Institucionalidad
mas educacion mas oportun	Compromiso con la Educación y Autoeducación
comunic inform	Difusión de la Información
inform comun	Participación Ciudadana
aprovech benefici postul	Emprendimiento
inform	Difusión de la Información
transparent act	Accountability
enseñ nin nin respet	Defensa de derechos, Inclusión y Diversidad
cuid entorn	Sustentabilidad Ambiental
mas segur cuid entorn	Combatir Delincuencia
respons compromis rob polit	Accountability
ir vot	Participación Electoral
aport participacion dialog ciudadan	Participación Electoral
ser conflict si product	Confiar en la Institucionalidad
gener espaci deport vid san	Cultura
realiz deb civic	Participación Electoral
integr junt vecin	Participación Ciudadana
involucr mas polit	Accountability
concienci social	Protesta Social
ser conflict ser product	Confiar en la Institucionalidad
educ entorn famili mas activ	Sustentabilidad Ambiental
consider opinion dialog	Participación Ciudadana
deb civic sufrag particip dialog	Participación Electoral
persever hor esper atencion salud etc	Autocuidado y Salud
inform cumpl	Voluntariado
mejor educacion	Compromiso con la Educación y Autoeducación
mayor participacion activ civil votacion cabild	Participación Electoral
manifest pacif	Protesta Social
ministeri salud ecuacion	Autocuidado y Salud
realiz investigacion impact posit comun	Participación Ciudadana
pierd tradicion ancestral hij niet	Familia
trav sabidur experient vid trabaj	Trabajo
mas oportun confianz	Emprendimiento
respet convivent espaci comun	Cultura
cuid medi ambient	Sustentabilidad Ambiental
cambi drastic institu public creibl carabiner	Combatir Delincuencia
ser part espaci part ciud	Cultura
puest trabaj	Trabajo
hac us ejercici public civic	Participación Electoral
cultur	Cultura
cri bi sus hij niet	Familia
inform realid social pais local actu bu trat cordial	Protesta Social
educ niet	Compromiso con la Educación y Autoeducación
contribucion personal constru chil quier respet ley derech contribu pued ayud mas	Voluntariado
pel derech	Defensa de derechos, Inclusión y Diversidad
hac trabaj ofici baj estandar honest	Trabajo
necesit mas oportun	Emprendimiento
dialog famili	Participación Ciudadana
ser conscient realid pais mas all personal	Difusión de la Información
salud public ancestral	Autocuidado y Salud
prioriz comun matricul hij est ed comun inscrib consultori	Voluntariado
busc dialog honest respet	Participación Ciudadana
ten rol mas activ sol medi red social	Protesta Social
cuid recurs natural	Sustentabilidad Ambiental
evit contaminacion ayud recicl	Sustentabilidad Ambiental
conoc derech	Defensa de derechos, Inclusión y Diversidad
segur propi vecin	Participación Ciudadana
mas viviend recuper carreter agu	Sustentabilidad Ambiental
involucr mas relacion socied ser espect	Accountability
trabaj	Trabajo
crianz famili	Familia
acept contribu dpto desarroll social recib benefici	Protesta Social
recog adopt animal mas educacion civic	Compromiso con la Educación y Autoeducación
cuid ar verd	Sustentabilidad Ambiental
cuid proteg medi ambient entorn natural	Sustentabilidad Ambiental
educacion civic	Compromiso con la Educación y Autoeducación
particip organiz social	Participación Ciudadana
ser solidari semej	Reciprocidad-Redes
mejor comunicacion famili	Familia
realiz trabaj mejor maner posibl	Trabajo
cultur	Cultura
ayud baj nivel violenci person dialog person and agres	Combatir Delincuencia
cambi percepcion gent rd part polit trabaj	Accountability
ase entorn organiz vecin limpiez	Participación Ciudadana
voluntari post comun limpi cuid atencion usuari	Participación Ciudadana
mejor empresari salari trabaj	Emprendimiento
implement taller relacion discapac nadi quier palabr existencial solicit oportun	Emprendimiento
educacion civic conserv foment valor nuev gener	Compromiso con la Educación y Autoeducación
cuid cultur	Cultura
cre conscienci entorn polit medi ambient salud	Sustentabilidad Ambiental
mejor calid salud	Autocuidado y Salud
respet autor carabiner chil	Combatir Delincuencia
mejor person mas empir	Reciprocidad-Redes
foment participacion comunitari travel educacion	Participación Electoral
segur respet mutu	Combatir Delincuencia
trabaj cambi cultural provoqu verdader transformacion polit socied mas just femin memori enfoqu rol mas sensibl	Trabajo
empatiz demand pais	Protesta Social
recicl	Sustentabilidad Ambiental
cre concienci rest ejempl educ nin difund escuel	Voluntariado
deb respet autor	Defensa de derechos, Inclusión y Diversidad
educ	Compromiso con la Educación y Autoeducación
ser respons tem salud esper grav	Autocuidado y Salud
denunci delincuent form anonim	Combatir Delincuencia
crec cad emprend	Emprendimiento
autocuid salud com san ejercici automedic colaps sistem	Autocuidado y Salud
particip cabild promov participacion dem	Participación Electoral
postur polit politiz conten enred peticion	Reciprocidad-Redes
volunt	Voluntariado
trabaj pais paz	Trabajo
respet	Defensa de derechos, Inclusión y Diversidad
traspas conoc optim ser mas solidari	Reciprocidad-Redes
valor civic general	Familia
empatiz	Reciprocidad-Redes
compromet gener espaci conversacion cercan	Cultura
reciclaj	Sustentabilidad Ambiental
agrup inform cad derech ciudadan	Difusión de la Información
independient pensamient distint busc mejor solucion problem	Emprendimiento
entreg comunicacion diferent person relacion cultur comun	Cultura
participacion	Participación Electoral
cre mas espaci conversacion	Cultura
compromet autocuid cuid dem	Autocuidado y Salud
afp ahorr salud futur	Autocuidado y Salud
mas oportun	Emprendimiento
gener espaci conversacion famili	Cultura
ir vot gest vot	Participación Electoral
salud	Autocuidado y Salud
fortalec educacion cas	Compromiso con la Educación y Autoeducación
respet piens distint	Defensa de derechos, Inclusión y Diversidad
cumpl	Voluntariado
cuid medi ambient bot basur call lug deb ser respons ten respet dem	Sustentabilidad Ambiental
trabaj constru emprend	Voluntariado
buen salud	Autocuidado y Salud
ser mas empat inclus	Reciprocidad-Redes
mejor calid trabaj	Trabajo
valor respet mas adult mayor gener ley permit participacion opinion	Participación Electoral
cre espaci art cienci	Cultura
concienci proteccion recurs natural mas cultur	Cultura
mejor salud mas medic profesional	Autocuidado y Salud
cuid espaci public	Cultura
educ hij valor	Compromiso con la Educación y Autoeducación
enseñ cultur zon perd	Cultura
educacion bas deb ser derech privilegi	Compromiso con la Educación y Autoeducación
ministr hag bi trabaj terren gent	Trabajo
aprend neces	Compromiso con la Educación y Autoeducación
cumpl deb civic	Participación Electoral
ser mas respetu autor	Accountability
preocup ocup	Familia
respet	Defensa de derechos, Inclusión y Diversidad
cumpl deb civic	Participación Electoral
respet	Defensa de derechos, Inclusión y Diversidad
entreg valor educacion nuev generacion	Reciprocidad-Redes
garantiz segur public	Combatir Delincuencia
difund inform educ diferent poblacion	Participación Ciudadana
respet rest provoc li personal general	Defensa de derechos, Inclusión y Diversidad
educ hij si manifiest hag destroz	Compromiso con la Educación y Autoeducación
vot	Participación Electoral
ir votacion sufrag	Participación Electoral
mayor concienci social	Protesta Social
respet carabiner tod fuerz segur public	Combatir Delincuencia
respet carabiner	Combatir Delincuencia
foment autocuid faen	Autocuidado y Salud
promov manifest pacif	Protesta Social
gener espaci conversacion	Cultura
verific informacion correct	Difusión de la Información
evit juventud acced drog ocup espaci public	Combatir Delincuencia
solidar	Reciprocidad-Redes
denunci injustici salud	Autocuidado y Salud
difund	Voluntariado
capacit cad di mas inform vecin ser posit pes	Participación Ciudadana
inform mejor tem pais	Difusión de la Información
goz buen plan salud bi atend hospital buen medic list esper remedi tratamient baj valor	Autocuidado y Salud
trabaj chil	Trabajo
educacion social	Protesta Social
agrupacion ma inform migrant	Difusión de la Información
respet carabiner	Combatir Delincuencia
promocion vid salud	Autocuidado y Salud
enseñ educacion civic enseñ horari toqu qued	Compromiso con la Educación y Autoeducación
inculc mas valor principi	Familia
inform	Difusión de la Información
respet person pued logr much cos	Reciprocidad-Redes
gener concienci social educ	Protesta Social
respet	Defensa de derechos, Inclusión y Diversidad
transmit bi informacion padr adult mayor	Participación Ciudadana
hac trabaj correspond punt vist funcionari public	Trabajo
garantiz calid salud	Autocuidado y Salud
ser mas toler	Accountability
cuid	Sustentabilidad Ambiental
trabaj sobrad mejor condicion pais	Trabajo
realiz prest servici voluntari acuerd profesion ofici	Voluntariado
cuid medi ambient	Sustentabilidad Ambiental
ayud conoc mecan denunci recl	Combatir Delincuencia
