id,date,init_time,end_time,location,address,comuna_id,n_members,group_name,valid
enc_u_4596763700997702847,2020-03-09 00:00:00,18:30:00,20:30:00,barros luco y vecinos,barros luco #2247,15101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596744200116382645,2020-03-05 00:00:00,11:00:00,12:30:00,centro cultural,pedro canales 137,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596619275164164128,2020-02-03 00:00:00,15:00:00,17:00:00,consultorio cajual la serena,colon 225,4101,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4596538444129461689,2020-03-06 00:00:00,16:00:00,17:30:00,terminal lincosur,sala de star terminales,4101,8,usuarios de oficina movil de bienes nacionales,True
enc_u_4596527464808166911,2020-02-28 00:00:00,15:00:00,16:30:00,,,1,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595956029616133624,2020-03-09 00:00:00,14:45:00,17:50:00,oficina j. carlos acevedo,o'higgins #1271,10301,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595953176514917294,2020-02-05 00:00:00,18:00:00,19:15:00,vichuquen,calle comercio s/n,7309,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4595944093321943387,2020-03-06 00:00:00,17:45:00,19:30:00,rene schneider 2631,teleton,14101,8,usuarios de oficina movil de bienes nacionales,True
enc_u_4595941083322126118,2020-03-06 00:00:00,17:45:00,19:30:00,teleton valdivia,rene schneider #2631,14101,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4595934163329453615,2020-03-06 00:00:00,17:43:00,19:30:00,intituto teleton valdivia,rene schneider #2631,14101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4595914560111217720,2020-03-05 00:00:00,11:00:00,12:30:00,centro cultural,pedro camalez 137,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595913743577976827,2020-03-04 00:00:00,15:00:00,17:00:00,salon municipal de hualqui,freire 351,8105,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4595911510158997688,2020-01-02 00:00:00,20:00:00,23:30:00,,villa san sebastian ranquen pasaj  #308,7301,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4595910173573520462,2020-03-04 00:00:00,15:00:00,17:00:00,salon municipal de hualqui,calle freire 351,8105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595907200156285158,2020-01-31 00:00:00,22:10:00,23:50:00,brisas de san miguel,,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595906623579183150,2020-03-04 00:00:00,15:00:00,17:00:00,salon municipal,freire 351,8105,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4595903120153792064,2020-01-23 00:00:00,15:30:00,00:00:00,isl talca ,7 oriente 2 norte 1295,7101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4595896740159235439,2020-02-02 00:00:00,22:00:00,00:00:00,cerro de la virgen,,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595893403291895218,2020-03-05 00:00:00,10:30:00,12:30:00,centro cultural emilio help,santo domingo s/n.,10303,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4595864992527548520,2020-03-04 00:00:00,19:35:00,20:30:00,sum estadio regional coyhaique,21 de mayo 1671,1,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4595853601195589243,2020-01-29 00:00:00,11:40:00,14:00:00,salon de evento im gral lagos,visur s/n,15202,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4595785350154848969,2020-02-02 00:00:00,20:30:00,23:00:00,,yerbas buenas ndeg 598 v dona antonia,7105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595767860158596010,2020-01-23 00:00:00,15:28:00,00:00:00,isl (instiuti de seguridad lasocial),7 oriente #1295,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4595750226118837760,2020-03-03 00:00:00,17:00:00,19:15:00,sernameg arica,baquedano 794,15101,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4595748186118896827,2020-03-03 00:00:00,17:00:00,19:00:00,sername 6,baquedo 794,15101,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4595651957411945773,2020-03-06 00:00:00,15:40:00,16:10:00,ofinicas dga,6 oriente 1220,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593380843299373307,2020-03-05 00:00:00,19:00:00,21:00:00,sede junta de vecinos,ancud,10202,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4593378903291710656,2020-03-05 00:00:00,08:40:00,00:00:00,centro de rehabilitacion club leones ancud,manuel gonzalez ndeg 75,10202,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4593366608428384625,2020-03-05 00:00:00,17:10:00,18:20:00,sede lecudi villa galileo,14 poniente con 24 sur,7101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4593326078422718965,2020-03-05 00:00:00,16:00:00,17:00:00,cecudi,"14 pte, 2 sur",7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593323736866009418,2020-03-06 00:00:00,12:45:00,14:47:00,centro de la mujer constitucion,prieto 607,7102,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593319139158007146,2020-03-06 00:00:00,11:00:00,12:40:00,centro cultural  de freire,canales sur 186,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593318669153660643,2020-03-06 00:00:00,11:00:00,12:00:00,centro cultural,"camales sur no 187, sector urbano",9105,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4593296918425168007,2020-02-27 00:00:00,19:15:00,20:40:00,casa de una vecina ,"17 1/2 norte #2260, villa parque 4, talca",7101,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4593223560117671753,2020-03-06 00:00:00,10:00:00,12:00:00,municipalidad de temuco,prat 650,9101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4593178871196423700,2020-01-16 00:00:00,15:40:00,00:00:00,putre recinto feran,putre recinto feran,15201,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4593171851195480098,2020-01-16 00:00:00,15:05:00,17:20:00,feral recinto en putre,,15201,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4593171560119392439,2020-03-03 00:00:00,10:00:00,12:00:00,centro cultural  de freire,pedro canales 137,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593169261197840165,2020-01-16 00:00:00,15:30:00,17:30:00,recinto feran ,pueblo de putre,15201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593167101195966467,2020-01-16 00:00:00,15:30:00,17:25:00,putre,,15201,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4593162191198671713,2020-01-16 00:00:00,15:20:00,17:00:00,putre,,1,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4593159731198290704,2020-01-16 00:00:00,15:30:00,15:30:00,ex-recinto ,,15201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593155341194539577,2020-01-16 00:00:00,03:25:00,05:15:00,putre,,15201,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4593130741197314604,2020-01-16 00:00:00,15:00:00,17:15:00,putre,putre,15201,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4593129191197425401,2020-01-16 00:00:00,15:10:00,18:00:00,putre,feran putre ,15201,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4593127041194583292,2020-01-16 00:00:00,15:00:00,17:00:00,putre,feran putre,15201,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4593124420115194198,2020-03-05 00:00:00,12:00:00,13:30:00,gobernacion provincial de malleco,lautaro 226,9201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593123230114998034,2020-03-04 00:00:00,10:00:00,12:00:00,gobernacion provincial de malloco,lautaro 226,9201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593122260112654290,2020-03-03 00:00:00,10:00:00,12:00:00,gobernacion provincial de malleco ,lautaro #226,9201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593121460115898262,2020-02-03 00:00:00,10:00:00,12:00:00,gobernacion provincial de malleco,lautaro 226,9201,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4593120280116111402,2020-02-28 00:00:00,10:00:00,12:00:00,gobernador provincial de medico,loumio 226,9201,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4593119230117354334,2020-02-27 00:00:00,09:00:00,11:00:00,gobernacion provincial de malleco,lautaro 226,9201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593117930116638178,2020-02-26 00:00:00,00:00:00,11:00:00,gobernacion provincia de malleco ,lautaro #226,9201,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4593116880112309457,2020-02-25 00:00:00,10:00:00,12:00:00,plaza de armas angol,arturo pratt 245,9201,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4593115600113528988,2020-02-24 00:00:00,09:00:00,11:00:00,gobernacion provincial  malleco,lautaro 226,9201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593092444316047768,2020-02-08 00:00:00,16:00:00,19:00:00,tarapaca 1324. salon edificio,tarapaca 1324,13101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4593087970615855068,2020-02-11 00:00:00,10:30:00,13:00:00,seremi de salud,"moneda 1025, piso 6",13101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4593084025215357403,2020-03-01 00:00:00,18:00:00,21:30:00,piso 809,vergara #24,13101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4592471870113785986,2020-03-03 00:00:00,10:30:00,12:30:00,municipalidad de traiguen,basilio urrutia ndeg914,9210,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592471324808086661,2020-02-03 00:00:00,00:00:00,20:30:00,sede union comunal del adulto mayor,bilbao 788,14201,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4592430981195770045,2020-03-04 00:00:00,18:30:00,19:30:00,temuco centro,bulnes 443,9101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4592322696512263637,2020-02-27 00:00:00,21:00:00,22:15:00,poblacion,villa parral el monte 2260,7101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4592307920774020608,2020-02-29 00:00:00,17:15:00,19:20:00,casa,alvarez perez 957,4201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592305500775270909,2020-03-03 00:00:00,14:30:00,15:30:00,oficina gobierno regional,vicuna mackenna 330 piso 3 of 303,4301,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4592301930771544339,2020-03-03 00:00:00,16:30:00,17:30:00,oficina gobierno regional,vicuna mackenna 330 piso 3 oficina 303,4301,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592300140772193272,2020-03-04 00:00:00,08:00:00,09:00:00,oficinagobierno regional,vickuna mackena330,4301,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4592299240775284215,2020-01-03 00:00:00,11:30:00,12:40:00,sede,sede santa cecilia,9102,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592239940778073029,2020-01-03 00:00:00,11:00:00,12:30:00,sede santa celia,sede santa celia,9102,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592238810771066166,2020-01-03 00:00:00,12:00:00,13:00:00,sede,sede santa cecilia,9102,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592237130773544310,2020-01-03 00:00:00,11:00:00,13:00:00,sede mineros sta celia,sector sta celia,9102,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592219120773828234,2020-01-03 00:00:00,11:00:00,12:00:00,sede santa celia,sector santa celia,9102,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592217355229214161,2020-03-04 00:00:00,15:30:00,17:05:00,oficina calama granaderos #2240,granaderos #2240,2201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592212325226333734,2020-03-04 00:00:00,15:30:00,17:05:00,oficina calama,granaderos 2240,2201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592191335226030854,2020-02-29 00:00:00,12:00:00,14:00:00,dependencias de la direccion regional del registro civil e identificacion,"washington 2384, antofagasta",2101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4592185155223997336,2020-02-27 00:00:00,15:30:00,15:30:00,oficina central registro civil e identificacion ,bolivar 250,2101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4591594809329606640,2020-03-04 00:00:00,14:10:00,15:15:00, biblioteca,jose joaquin perez 775,8201,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4591378423297549942,2020-03-03 00:00:00,16:30:00,17:30:00,hotel garra de leon,serrano #1052,3301,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4591358540112702885,2020-03-03 00:00:00,19:30:00,00:00:00,sede social altos de labranza,rayenco #0960,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4591339920111432877,2020-03-04 00:00:00,07:30:00,08:30:00,cede altos de labranza,rayenco 0960,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4591328870158037356,2020-01-17 00:00:00,12:00:00,13:00:00,cet. los rios,comercio #238,14201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4591312180156436635,2020-02-26 00:00:00,15:15:00,17:00:00,lanco,alberto rondova n 267,14103,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4591306030151496905,2020-02-11 00:00:00,00:00:00,17:30:00,municipalidad de san jose,,14106,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4591300470157079475,2020-02-29 00:00:00,10:37:00,13:00:00,caja la araucana,carampangue #368,14101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4590751760156701621,2020-01-23 00:00:00,15:30:00,00:00:00,dependencias direccion regional de los rios,"o'higgins #116, valdivia",14101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4590736793227238866,2020-02-03 00:00:00,19:30:00,21:00:00,sum estadio regional coyhaique ,21 de mayo 1671,1,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4590659494027493855,2020-02-17 00:00:00,17:00:00,20:15:00,manuel plaza #2940,casido diego de almagro,1107,7,usuarios de oficina movil de bienes nacionales,True
